area_name,area_url,n_houses,page,done
Fuente del Berro,/venta-viviendas/madrid/barrio-de-salamanca/fuente-del-berro/,133,5,True
Huertas-Cortes,/venta-viviendas/madrid/centro/huertas-cortes/,195,2,True
Moratalaz,/venta-viviendas/madrid/moratalaz/,217,2,True
Barajas,/venta-viviendas/madrid/barajas/,220,2,True
Sol,/venta-viviendas/madrid/centro/sol/,245,2,True
Guindalera,/venta-viviendas/madrid/barrio-de-salamanca/guindalera/,291,2,True
Castellana,/venta-viviendas/madrid/barrio-de-salamanca/castellana/,321,2,True
Vicálvaro,/venta-viviendas/madrid/vicalvaro/,326,2,True
Lista,/venta-viviendas/madrid/barrio-de-salamanca/lista/,350,2,True
Chueca-Justicia,/venta-viviendas/madrid/centro/chueca-justicia/,394,2,True
Recoletos,/venta-viviendas/madrid/barrio-de-salamanca/recoletos/,409,2,True
Villa de Vallecas,/venta-viviendas/madrid/villa-de-vallecas/,414,2,True
Palacio,/venta-viviendas/madrid/centro/palacio/,415,2,True
Usera,/venta-viviendas/madrid/usera/,540,2,True
Goya,/venta-viviendas/madrid/barrio-de-salamanca/goya/,553,2,True
Villaverde,/venta-viviendas/madrid/villaverde/,582,2,True
Lavapiés-Embajadores,/venta-viviendas/madrid/centro/lavapies-embajadores/,593,20,True
Arganzuela,/venta-viviendas/madrid/arganzuela/,676,23,True
Retiro,/venta-viviendas/madrid/retiro/,685,23,True
Malasaña-Universidad,/venta-viviendas/madrid/centro/malasana-universidad/,724,25,True
San Blas,/venta-viviendas/madrid/san-blas/,773,26,True
Latina,/venta-viviendas/madrid/latina/,812,27,True
Fuencarral,/venta-viviendas/madrid/fuencarral/,867,30,True
Hortaleza,/venta-viviendas/madrid/hortaleza/,870,30,True
Moncloa,/venta-viviendas/madrid/moncloa/,999,34,True
Puente de Vallecas,/venta-viviendas/madrid/puente-de-vallecas/,1162,40,True
Chamartín,/venta-viviendas/madrid/chamartin/,1190,40,True
Tetuán,/venta-viviendas/madrid/tetuan/,1235,42,True
Ciudad Lineal,/venta-viviendas/madrid/ciudad-lineal/,1323,45,True
Chamberí,/venta-viviendas/madrid/chamberi/,1452,49,True
Carabanchel,/venta-viviendas/madrid/carabanchel/,1501,50,False
